ssid,distid,schlid,disability_code,gndr,ethnic_cd,rit,lat,lon
225,2182,950,80,F,W,230.528,45.516147000000004,-122.382429
226,2148,2148,50,M,W,223.211,NA,NA
227,1974,236,10,F,W,197.029,42.059114,-124.28263100000001
228,2243,1176,82,M,H,203.175,45.533135,-122.82003200000001
229,2082,515,82,M,W,207.459,44.087485,-123.139356
230,2088,583,82,F,W,204.619,44.076772,-123.179878
231,2197,1014,74,F,M,233.96,45.407506000000005,-123.816507
232,2083,1352,82,M,W,214.667,44.048485,-122.944118
233,2100,644,10,F,H,213.177,44.622469,-123.09394300000001
234,2053,430,82,M,W,207.459,44.632788000000005,-121.12369500000001
235,1948,1948,10,M,W,200.196,NA,NA
236,2142,761,10,F,H,208.871,44.877841000000004,-123.04796700000001
237,2183,937,82,M,H,162.398,45.492736,-122.45469100000001
238,2180,824,90,M,W,214.667,45.547809,-122.63736300000001
239,2082,529,82,M,W,219.488,44.114631,-123.144181
240,1948,1948,10,F,W,225.337,NA,NA
241,2142,734,10,M,P,149.647,45.026674,-123.01908100000001
242,2206,3426,10,M,W,211.721,45.830311,-119.30465500000001
243,2100,643,10,M,W,230.528,44.607978,-123.08592700000001
244,2239,1112,60,M,W,214.667,45.515267,-122.942254
245,2239,1112,80,M,M,225.337,45.515267,-122.942254
246,1924,65,50,M,M,208.871,45.409389000000004,-122.58910800000001
247,2054,2054,60,M,W,230.528,NA,NA
248,2088,583,50,M,W,221.278,44.076772,-123.179878
249,2185,1367,82,M,H,207.459,45.512985,-122.48013
250,2142,755,82,M,W,182.34,44.983297,-122.971935
251,2087,576,82,M,B,203.175,43.790464,-123.05849500000001
252,2086,570,20,F,M,213.177,43.920495,-123.028643
253,2142,746,90,F,A,233.96,44.995971000000004,-123.007664
254,2190,989,10,F,W,238.564,44.928454,-123.32055100000001
255,2100,640,70,F,W,149.647,44.612709,-123.091881
256,1976,250,10,M,H,200.196,44.072265,-121.242085
257,2048,417,10,M,W,198.642,42.32987,-122.85728100000001
258,2100,4744,80,M,W,175.365,44.647086,-123.041081
259,1965,196,10,F,W,201.704,43.387768,-124.272878
260,1969,217,80,M,B,187.477,43.114422000000005,-124.41667500000001
261,1969,217,82,M,W,213.177,43.114422000000005,-124.41667500000001
262,2143,788,80,M,B,187.477,44.801651,-122.793412
263,2148,3168,90,F,H,213.177,NA,NA
264,2083,2083,82,M,B,211.721,NA,NA
265,2100,640,82,F,W,206.044,44.612709,-123.091881
266,2100,640,10,M,M,197.029,44.612709,-123.091881
267,2048,412,82,M,W,149.647,42.317381000000005,-122.95853000000001
268,2042,384,82,M,W,227.733,42.432638000000004,-123.06286300000001
269,2243,1270,82,M,W,214.667,45.459412,-122.83754200000001
270,2138,716,10,M,B,206.044,45.001020000000004,-122.793497
271,2142,732,10,M,H,197.029,44.932601,-123.034254
272,2254,1216,10,M,H,149.647,45.280494000000004,-123.01029600000001
273,2054,2054,80,F,W,238.564,NA,NA
274,2182,950,80,M,W,203.175,45.516147000000004,-122.382429
275,2048,416,82,M,W,198.642,42.358679,-122.851555
276,2242,1139,10,F,W,230.528,45.412931,-122.77368000000001
277,2180,2180,82,M,W,149.647,NA,NA
278,2142,753,82,M,W,258.45,44.904448,-123.032041
279,2042,382,82,M,A,223.211,42.371608,-122.91262800000001
280,2206,1034,82,M,W,230.528,45.836833,-119.270476
281,2142,736,82,M,W,258.45,44.945641,-123.011249
282,1924,4762,40,M,W,200.196,45.457743,-122.625077
283,1977,1325,10,M,W,200.196,44.262607,-121.203197
284,2142,3376,80,F,H,149.647,44.994976,-122.95619300000001
285,1900,20,20,M,M,214.667,44.538195,-123.362755
286,2239,3536,82,M,W,203.175,45.511876,-122.920985
287,2048,1350,82,M,W,210.289,42.362801000000005,-122.837247
288,2096,609,82,F,W,208.871,43.986129,-124.10453500000001
289,2100,640,50,M,A,207.459,44.612709,-123.091881
290,2142,736,90,M,H,210.289,44.945641,-123.011249
291,1977,258,80,M,H,170.336,44.278004,-121.17918200000001
292,2143,788,82,M,H,203.175,44.801651,-122.793412
293,2082,503,82,M,M,197.029,44.035028000000004,-123.107757
294,2142,732,80,F,W,195.345,44.932601,-123.034254
295,2102,663,82,M,W,258.45,44.398448,-122.706827
296,2239,4703,10,M,M,149.647,45.491401,-122.914765
297,2182,1365,82,M,M,207.459,45.529089,-122.44072600000001
298,2243,2781,20,M,M,223.211,45.430457000000004,-122.84515700000001
299,2187,976,82,F,M,223.211,45.525545,-122.530275
300,2142,744,10,M,M,197.029,44.944912,-122.995737
301,1969,217,82,F,W,208.871,43.114422000000005,-124.41667500000001
302,2142,749,10,F,A,191.689,44.887069000000004,-123.06171400000001
303,2182,3989,90,M,W,213.177,45.529652,-122.45266500000001
304,1902,1902,60,M,A,213.177,NA,NA
305,2183,1313,82,F,M,213.177,45.480265,-122.38490200000001
306,2185,2185,50,M,H,210.289,NA,NA
307,2183,940,10,M,W,225.337,45.496751,-122.43535700000001
308,2187,978,60,M,W,230.528,45.521381000000005,-122.543896
309,2183,3543,50,M,A,223.211,45.484647,-122.407403
310,2143,788,82,M,H,200.196,44.801651,-122.793412
311,2253,1211,82,M,H,207.459,45.218433000000005,-123.07828500000001
312,2185,965,80,F,A,198.642,45.496285,-122.48584400000001
313,2180,835,82,M,H,193.572,45.491757,-122.72431800000001
314,1976,4680,82,M,W,206.044,44.053811,-121.36775
315,2101,653,10,F,W,211.721,44.538507,-122.921209
316,2142,760,82,M,W,223.211,44.885941,-123.07366
317,2142,1244,10,M,W,191.689,44.955585,-123.07661
318,2088,583,10,M,W,216.205,44.076772,-123.179878
319,2243,1171,82,M,W,219.488,45.538769,-122.83602
320,4131,1093,10,M,W,204.619,45.625318,-121.22189200000001
321,2142,728,82,M,W,201.704,44.936054,-122.971112
322,2185,964,10,F,B,149.647,45.511453,-122.48824
323,2142,760,20,M,M,221.278,44.885941,-123.07366
324,2180,1278,90,M,W,258.45,45.449235,-122.725509
325,2024,366,50,F,H,211.721,45.695100000000004,-121.54320500000001
326,2244,1191,10,M,W,230.528,45.361301000000005,-122.84292500000001
327,2182,949,80,M,W,187.477,45.523472,-122.462164
328,1965,196,80,M,W,230.528,43.387768,-124.272878
329,1901,35,10,F,W,197.029,44.585930000000005,-123.280433
330,2180,1278,10,F,H,197.029,45.449235,-122.725509
331,2205,5297,82,M,W,198.642,45.981201,-118.402493
332,1924,4766,82,M,W,216.205,45.421934,-122.508347
333,2243,1155,82,M,W,189.669,45.50441,-122.852956
334,2110,702,10,M,M,233.96,43.876846,-117.002948
335,1933,147,82,M,H,198.642,46.147615,-123.842087
336,1969,217,50,F,W,217.805,43.114422000000005,-124.41667500000001
337,2242,1140,80,M,W,230.528,45.445384000000004,-122.77103000000001
338,2180,1278,0,M,H,203.175,45.449235,-122.725509
339,1978,264,82,M,W,216.205,44.29079,-121.54146200000001
